model,score,timestep,number_of_edges_pos,number_of_edges_neg,test_agg,duplicate_edges,predictor,loss_func,method
GraphConv,0.6020408163265305,130280,35,35,False,True,dotProduct,BCEWithLogits,agg_simp
GraphConv,0.6191836734693876,130300,35,35,False,True,dotProduct,BCEWithLogits,agg_simp
GraphConv,0.7135999999999999,130320,25,25,False,True,dotProduct,BCEWithLogits,agg_simp
GraphConv,0.6124885215794307,130340,33,33,False,True,dotProduct,BCEWithLogits,agg_simp
GraphConv,0.6813317479191437,130360,29,29,False,True,dotProduct,BCEWithLogits,agg_simp
GraphConv,0.6448,130380,25,25,False,True,dotProduct,BCEWithLogits,agg_simp
GraphConv,0.7204861111111112,130400,24,24,False,True,dotProduct,BCEWithLogits,agg_simp
GraphConv,0.5955555555555555,130420,30,30,False,True,dotProduct,BCEWithLogits,agg_simp
GraphConv,0.6905864197530863,130440,36,36,False,True,dotProduct,BCEWithLogits,agg_simp
GraphConv,0.7290809327846366,130460,27,27,False,True,dotProduct,BCEWithLogits,agg_simp
GraphConv,0.718192627824019,130480,29,29,False,True,dotProduct,BCEWithLogits,agg_simp
GraphConv,0.7565036420395422,130500,31,31,False,True,dotProduct,BCEWithLogits,agg_simp
GraphConv,0.5377777777777778,130520,30,30,False,True,dotProduct,BCEWithLogits,agg_simp
GraphConv,0.5706771860618014,130540,39,39,False,True,dotProduct,BCEWithLogits,agg_simp
GraphConv,0.5853994490358126,130560,33,33,False,True,dotProduct,BCEWithLogits,agg_simp
GraphConv,0.6519274376417232,130580,21,21,False,True,dotProduct,BCEWithLogits,agg_simp
GraphConv,0.6611796982167353,130600,27,27,False,True,dotProduct,BCEWithLogits,agg_simp
GraphConv,0.6428571428571429,130620,35,35,False,True,dotProduct,BCEWithLogits,agg_simp
GraphConv,0.6090720221606648,130640,38,38,False,True,dotProduct,BCEWithLogits,agg_simp
GraphConv,0.7107750472589792,130660,23,23,False,True,dotProduct,BCEWithLogits,agg_simp
GraphConv,0.68,130680,15,15,False,True,dotProduct,BCEWithLogits,agg_simp
GraphConv,0.734375,130700,16,16,False,True,dotProduct,BCEWithLogits,agg_simp
GraphConv,0.7361111111111112,130720,12,12,False,True,dotProduct,BCEWithLogits,agg_simp
GraphConv,0.6870748299319728,130740,21,21,False,True,dotProduct,BCEWithLogits,agg_simp
GraphConv,0.7421875,130760,16,16,False,True,dotProduct,BCEWithLogits,agg_simp
GraphConv,0.8373702422145329,130780,17,17,False,True,dotProduct,BCEWithLogits,agg_simp
GraphConv,0.8800000000000001,130800,10,10,False,True,dotProduct,BCEWithLogits,agg_simp
GraphSage,0.5020576131687243,126800,81,81,False,False,dotProduct,BCEWithLogits,agg_simp
GraphSage,0.5561342592592592,126820,72,72,False,False,dotProduct,BCEWithLogits,agg_simp
GraphSage,0.5577578588562051,126840,89,89,False,False,dotProduct,BCEWithLogits,agg_simp
GraphSage,0.5966738777717685,126860,86,86,False,False,dotProduct,BCEWithLogits,agg_simp
GraphSage,0.5300094517958411,126880,92,92,False,False,dotProduct,BCEWithLogits,agg_simp
GraphSage,0.5591909577632362,126900,82,82,False,False,dotProduct,BCEWithLogits,agg_simp
GraphSage,0.5545224006762468,126920,91,91,False,False,dotProduct,BCEWithLogits,agg_simp
GraphSage,0.5852808825664103,126940,83,83,False,False,dotProduct,BCEWithLogits,agg_simp
GraphSage,0.5538845785949623,126960,97,97,False,False,dotProduct,BCEWithLogits,agg_simp
GraphSage,0.47199083715118695,126980,98,98,False,False,dotProduct,BCEWithLogits,agg_simp
GraphSage,0.5715972339348963,127000,77,77,False,False,dotProduct,BCEWithLogits,agg_simp
GraphSage,0.5227893299726949,127020,69,69,False,False,dotProduct,BCEWithLogits,agg_simp
GraphSage,0.5997078159240321,127040,74,74,False,False,dotProduct,BCEWithLogits,agg_simp
GraphSage,0.49905646683118016,127060,83,83,False,False,dotProduct,BCEWithLogits,agg_simp
GraphSage,0.5529104369284367,127080,83,83,False,False,dotProduct,BCEWithLogits,agg_simp
GraphSage,0.5678577151097581,127100,79,79,False,False,dotProduct,BCEWithLogits,agg_simp
GraphSage,0.5819160997732425,127120,84,84,False,False,dotProduct,BCEWithLogits,agg_simp
GraphSage,0.5899162516976008,127140,94,94,False,False,dotProduct,BCEWithLogits,agg_simp
GraphSage,0.5819377162629757,127160,85,85,False,False,dotProduct,BCEWithLogits,agg_simp
GraphSage,0.5671360139352591,127180,83,83,False,False,dotProduct,BCEWithLogits,agg_simp
GraphSage,0.5633551457465794,127200,82,82,False,False,dotProduct,BCEWithLogits,agg_simp
GraphSage,0.5330578512396694,127220,88,88,False,False,dotProduct,BCEWithLogits,agg_simp
GraphSage,0.4691311690748733,127240,73,73,False,False,dotProduct,BCEWithLogits,agg_simp
GraphSage,0.49390589569161,127260,84,84,False,False,dotProduct,BCEWithLogits,agg_simp
GraphSage,0.5417488494411572,127280,78,78,False,False,dotProduct,BCEWithLogits,agg_simp
GraphSage,0.5171702007881404,127300,73,73,False,False,dotProduct,BCEWithLogits,agg_simp
GraphSage,0.43080210387902695,127320,78,78,False,False,dotProduct,BCEWithLogits,agg_simp
GraphSage,0.4739931826789546,127340,89,89,False,False,dotProduct,BCEWithLogits,agg_simp
GraphSage,0.4760487528344671,127360,84,84,False,False,dotProduct,BCEWithLogits,agg_simp
GraphSage,0.5405160706201901,127380,94,94,False,False,dotProduct,BCEWithLogits,agg_simp
GraphSage,0.5526506460572393,127400,91,91,False,False,dotProduct,BCEWithLogits,agg_simp
GraphSage,0.4690595945739978,127420,81,81,False,False,dotProduct,BCEWithLogits,agg_simp
GraphSage,0.5237333333333334,127440,75,75,False,False,dotProduct,BCEWithLogits,agg_simp
GraphSage,0.5407657210870859,127460,71,71,False,False,dotProduct,BCEWithLogits,agg_simp
GraphSage,0.562603550295858,127480,65,65,False,False,dotProduct,BCEWithLogits,agg_simp
GraphSage,0.5373134328358209,127500,67,67,False,False,dotProduct,BCEWithLogits,agg_simp
GraphSage,0.5045974854569337,127520,73,73,False,False,dotProduct,BCEWithLogits,agg_simp
GraphSage,0.5512343842950624,127540,82,82,False,False,dotProduct,BCEWithLogits,agg_simp
GraphSage,0.4473642044544144,127560,79,79,False,False,dotProduct,BCEWithLogits,agg_simp
GraphSage,0.5179271302075773,127580,83,83,False,False,dotProduct,BCEWithLogits,agg_simp
GraphSage,0.5244704163623083,127600,74,74,False,False,dotProduct,BCEWithLogits,agg_simp
GraphSage,0.5586194302410518,127620,74,74,False,False,dotProduct,BCEWithLogits,agg_simp
GraphSage,0.5566863905325443,127640,65,65,False,False,dotProduct,BCEWithLogits,agg_simp
GraphSage,0.5732330018812148,127660,61,61,False,False,dotProduct,BCEWithLogits,agg_simp
GraphSage,0.5723400262713454,127680,73,73,False,False,dotProduct,BCEWithLogits,agg_simp
GraphSage,0.5697393173877989,127700,61,61,False,False,dotProduct,BCEWithLogits,agg_simp
GraphSage,0.48186878057007926,127720,77,77,False,False,dotProduct,BCEWithLogits,agg_simp
GraphSage,0.4547708787938901,127740,71,71,False,False,dotProduct,BCEWithLogits,agg_simp
GraphSage,0.5338226542352708,127760,71,71,False,False,dotProduct,BCEWithLogits,agg_simp
GraphSage,0.5528250367569838,127780,69,69,False,False,dotProduct,BCEWithLogits,agg_simp
GraphSage,0.5375741067136677,127800,79,79,False,False,dotProduct,BCEWithLogits,agg_simp
GraphSage,0.5779607220789527,127820,71,71,False,False,dotProduct,BCEWithLogits,agg_simp
GraphSage,0.625272763340607,127840,71,71,False,False,dotProduct,BCEWithLogits,agg_simp
GraphSage,0.5408163265306123,127860,70,70,False,False,dotProduct,BCEWithLogits,agg_simp
GraphSage,0.5715976331360947,127880,65,65,False,False,dotProduct,BCEWithLogits,agg_simp
GraphSage,0.5741417092768444,127900,74,74,False,False,dotProduct,BCEWithLogits,agg_simp
GraphSage,0.4937574316290131,127920,58,58,False,False,dotProduct,BCEWithLogits,agg_simp
GraphSage,0.6210552268244577,127940,78,78,False,False,dotProduct,BCEWithLogits,agg_simp
GraphSage,0.555495834453104,127960,61,61,False,False,dotProduct,BCEWithLogits,agg_simp
GraphSage,0.5829072315558803,127980,37,37,False,False,dotProduct,BCEWithLogits,agg_simp
GraphSage,0.4780962682531098,128000,43,43,False,False,dotProduct,BCEWithLogits,agg_simp
GraphSage,0.5949905482041588,128020,46,46,False,False,dotProduct,BCEWithLogits,agg_simp
GraphSage,0.5279458882164472,128040,53,53,False,False,dotProduct,BCEWithLogits,agg_simp
GraphSage,0.5314670138888888,128060,48,48,False,False,dotProduct,BCEWithLogits,agg_simp
GraphSage,0.5176899063475546,128080,62,62,False,False,dotProduct,BCEWithLogits,agg_simp
GraphSage,0.6967213114754098,128100,61,61,False,False,dotProduct,BCEWithLogits,agg_simp
GraphSage,0.5973553719008264,128120,55,55,False,False,dotProduct,BCEWithLogits,agg_simp
GraphSage,0.5263265306122449,128140,70,70,False,False,dotProduct,BCEWithLogits,agg_simp
GraphSage,0.6051311728395062,128160,72,72,False,False,dotProduct,BCEWithLogits,agg_simp
GraphSage,0.5587695133149678,128180,66,66,False,False,dotProduct,BCEWithLogits,agg_simp
GraphSage,0.5520214030915577,128200,58,58,False,False,dotProduct,BCEWithLogits,agg_simp
GraphSage,0.584804602261456,128220,71,71,False,False,dotProduct,BCEWithLogits,agg_simp
GraphSage,0.6336000000000002,128240,75,75,False,False,dotProduct,BCEWithLogits,agg_simp
GraphSage,0.5893491124260355,128260,65,65,False,False,dotProduct,BCEWithLogits,agg_simp
GraphSage,0.584228515625,128280,64,64,False,False,dotProduct,BCEWithLogits,agg_simp
GraphSage,0.5580357142857143,128300,56,56,False,False,dotProduct,BCEWithLogits,agg_simp
GraphSage,0.610207100591716,128320,52,52,False,False,dotProduct,BCEWithLogits,agg_simp
GraphSage,0.6244000000000001,128340,50,50,False,False,dotProduct,BCEWithLogits,agg_simp
GraphSage,0.5273879583521955,128360,47,47,False,False,dotProduct,BCEWithLogits,agg_simp
GraphSage,0.5090779636881453,128380,53,53,False,False,dotProduct,BCEWithLogits,agg_simp
GraphSage,0.544,128400,50,50,False,False,dotProduct,BCEWithLogits,agg_simp
GraphSage,0.549117247623359,128420,47,47,False,False,dotProduct,BCEWithLogits,agg_simp
GraphSage,0.5587474863544959,128440,59,59,False,False,dotProduct,BCEWithLogits,agg_simp
GraphSage,0.5840242346938775,128460,56,56,False,False,dotProduct,BCEWithLogits,agg_simp
GraphSage,0.6694101508916324,128480,54,54,False,False,dotProduct,BCEWithLogits,agg_simp
GraphSage,0.6028450595924644,128500,51,51,False,False,dotProduct,BCEWithLogits,agg_simp
GraphSage,0.6666666666666667,128520,51,51,False,False,dotProduct,BCEWithLogits,agg_simp
GraphSage,0.5473991997537704,128540,57,57,False,False,dotProduct,BCEWithLogits,agg_simp
GraphSage,0.5479289940828402,128560,65,65,False,False,dotProduct,BCEWithLogits,agg_simp
GraphSage,0.5786072530864198,128580,72,72,False,False,dotProduct,BCEWithLogits,agg_simp
GraphSage,0.5649678604224059,128600,66,66,False,False,dotProduct,BCEWithLogits,agg_simp
GraphSage,0.5945821854912765,128620,66,66,False,False,dotProduct,BCEWithLogits,agg_simp
GraphSage,0.5344939446366782,128640,68,68,False,False,dotProduct,BCEWithLogits,agg_simp
